2018-02-21 12:13:21,330 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr1.pickle 
2018-02-21 12:13:21,365 INFO     DATA FORMATTER: Retrieved the pickle file tr1.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:13:35,426 INFO     Fold: 1, epoch: 0, batch: 1, Loss: 224.563141, Accuracy: 50.00000
2018-02-21 12:13:35,446 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr2.pickle 
2018-02-21 12:13:35,507 INFO     DATA FORMATTER: Retrieved the pickle file tr2.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:13:50,290 INFO     Fold: 1, epoch: 0, batch: 2, Loss: 120.006546, Accuracy: 50.00000
2018-02-21 12:13:50,310 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr3.pickle 
2018-02-21 12:13:50,440 INFO     DATA FORMATTER: Retrieved the pickle file tr3.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:14:06,101 INFO     Fold: 1, epoch: 0, batch: 3, Loss: 23.793619, Accuracy: 59.37500
2018-02-21 12:14:06,120 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr4.pickle 
2018-02-21 12:14:06,179 INFO     DATA FORMATTER: Retrieved the pickle file tr4.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:14:20,590 INFO     Fold: 1, epoch: 0, batch: 4, Loss: 67.460434, Accuracy: 50.00000
2018-02-21 12:14:20,611 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr5.pickle 
2018-02-21 12:14:20,689 INFO     DATA FORMATTER: Retrieved the pickle file tr5.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:14:34,911 INFO     Fold: 1, epoch: 0, batch: 5, Loss: 42.578415, Accuracy: 50.00000
2018-02-21 12:14:34,929 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr6.pickle 
2018-02-21 12:14:35,003 INFO     DATA FORMATTER: Retrieved the pickle file tr6.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:14:49,232 INFO     Fold: 1, epoch: 0, batch: 6, Loss: 23.202631, Accuracy: 54.68750
2018-02-21 12:14:49,251 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr7.pickle 
2018-02-21 12:14:49,326 INFO     DATA FORMATTER: Retrieved the pickle file tr7.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:15:03,516 INFO     Fold: 1, epoch: 0, batch: 7, Loss: 38.255062, Accuracy: 51.56250
2018-02-21 12:15:03,537 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr8.pickle 
2018-02-21 12:15:03,622 INFO     DATA FORMATTER: Retrieved the pickle file tr8.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:15:17,907 INFO     Fold: 1, epoch: 0, batch: 8, Loss: 21.437061, Accuracy: 56.25000
2018-02-21 12:15:17,928 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr9.pickle 
2018-02-21 12:15:18,004 INFO     DATA FORMATTER: Retrieved the pickle file tr9.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:15:32,548 INFO     Fold: 1, epoch: 0, batch: 9, Loss: 23.623238, Accuracy: 53.12500
2018-02-21 12:15:32,566 INFO     CHECKPOINT SAVER: Saving model updated parameters
2018-02-21 12:15:39,414 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr10.pickle 
2018-02-21 12:15:39,491 INFO     DATA FORMATTER: Retrieved the pickle file tr10.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:15:53,738 INFO     Fold: 1, epoch: 0, batch: 10, Loss: 35.612282, Accuracy: 50.00000
2018-02-21 12:15:53,756 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr11.pickle 
2018-02-21 12:15:53,817 INFO     DATA FORMATTER: Retrieved the pickle file tr11.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:16:08,113 INFO     Fold: 1, epoch: 0, batch: 11, Loss: 24.455589, Accuracy: 51.56250
2018-02-21 12:16:08,134 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr12.pickle 
2018-02-21 12:16:08,216 INFO     DATA FORMATTER: Retrieved the pickle file tr12.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:16:22,567 INFO     Fold: 1, epoch: 0, batch: 12, Loss: 20.092318, Accuracy: 35.93750
2018-02-21 12:16:22,598 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr13.pickle 
2018-02-21 12:16:22,708 INFO     DATA FORMATTER: Retrieved the pickle file tr13.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
2018-02-21 12:16:37,646 INFO     Fold: 1, epoch: 0, batch: 13, Loss: 31.128326, Accuracy: 50.00000
2018-02-21 12:16:37,666 INFO     Loading the data from path /Users/sam/All-Program/App-DataSet/HouseClassification/data_models/streetside_images/batch_data/tr14.pickle 
2018-02-21 12:16:37,764 INFO     DATA FORMATTER: Retrieved the pickle file tr14.pickle from disk, dataX shape = (64, 260, 260, 3), dataY shape = (64,)
